t_s,n_visible_sats,n_edges,connected_to_space,end_to_end_delay_s,hops
0.0,0,16,False,,
20.0,0,16,False,,
40.0,0,16,False,,
60.0,0,16,False,,
80.0,0,16,False,,
100.0,0,16,False,,
120.0,0,16,False,,
140.0,0,16,False,,
160.0,0,16,False,,
180.0,0,16,False,,
200.0,0,16,False,,
220.0,0,16,False,,
240.0,0,16,False,,
260.0,0,16,False,,
280.0,0,16,False,,
300.0,0,16,False,,
320.0,0,16,False,,
340.0,0,16,False,,
360.0,0,16,False,,
380.0,0,16,False,,
400.0,0,16,False,,
420.0,0,16,False,,
440.0,0,16,False,,
460.0,0,16,False,,
480.0,0,16,False,,
500.0,0,16,False,,
520.0,0,16,False,,
540.0,0,16,False,,
560.0,0,16,False,,
580.0,0,16,False,,
600.0,0,16,False,,
620.0,0,16,False,,
640.0,0,16,False,,
660.0,0,16,False,,
680.0,0,16,False,,
700.0,0,16,False,,
720.0,0,16,False,,
740.0,0,16,False,,
760.0,0,16,False,,
780.0,0,16,False,,
800.0,0,16,False,,
820.0,0,16,False,,
840.0,0,16,False,,
860.0,0,16,False,,
880.0,0,16,False,,
900.0,0,16,False,,
920.0,0,16,False,,
940.0,0,16,False,,
960.0,0,16,False,,
980.0,0,16,False,,
1000.0,0,16,False,,
1020.0,0,16,False,,
1040.0,0,16,False,,
1060.0,0,16,False,,
1080.0,0,16,False,,
1100.0,0,16,False,,
1120.0,0,16,False,,
1140.0,0,16,False,,
1160.0,0,16,False,,
1180.0,0,16,False,,
1200.0,0,16,False,,
1220.0,0,16,False,,
1240.0,0,16,False,,
1260.0,0,16,False,,
1280.0,0,16,False,,
1300.0,0,16,False,,
1320.0,0,16,False,,
1340.0,0,16,False,,
1360.0,0,16,False,,
1380.0,0,16,False,,
1400.0,0,16,False,,
1420.0,0,16,False,,
1440.0,0,16,False,,
1460.0,0,16,False,,
1480.0,0,16,False,,
1500.0,0,16,False,,
1520.0,0,16,False,,
1540.0,0,16,False,,
1560.0,0,16,False,,
1580.0,0,16,False,,
1600.0,0,16,False,,
1620.0,0,16,False,,
1640.0,0,16,False,,
1660.0,0,16,False,,
1680.0,0,16,False,,
1700.0,0,16,False,,
1720.0,0,16,False,,
1740.0,0,16,False,,
1760.0,0,16,False,,
1780.0,0,16,False,,
1800.0,0,16,False,,
1820.0,0,16,False,,
1840.0,0,16,False,,
1860.0,0,16,False,,
1880.0,0,16,False,,
1900.0,0,16,False,,
1920.0,0,16,False,,
1940.0,0,16,False,,
1960.0,0,16,False,,
1980.0,0,16,False,,
2000.0,0,16,False,,
2020.0,0,16,False,,
2040.0,0,16,False,,
2060.0,0,16,False,,
2080.0,0,16,False,,
2100.0,0,16,False,,
2120.0,0,16,False,,
2140.0,0,16,False,,
2160.0,0,16,False,,
2180.0,0,16,False,,
2200.0,0,16,False,,
2220.0,0,16,False,,
2240.0,0,16,False,,
2260.0,0,16,False,,
2280.0,0,16,False,,
2300.0,0,16,False,,
2320.0,0,16,False,,
2340.0,0,16,False,,
2360.0,0,16,False,,
2380.0,0,16,False,,
2400.0,0,16,False,,
2420.0,0,16,False,,
2440.0,0,16,False,,
2460.0,0,16,False,,
2480.0,0,16,False,,
2500.0,0,16,False,,
2520.0,0,16,False,,
2540.0,0,16,False,,
2560.0,0,16,False,,
2580.0,0,16,False,,
2600.0,0,16,False,,
2620.0,0,16,False,,
2640.0,0,16,False,,
2660.0,0,16,False,,
2680.0,0,16,False,,
2700.0,0,16,False,,
2720.0,0,16,False,,
2740.0,0,16,False,,
2760.0,0,16,False,,
2780.0,0,16,False,,
2800.0,0,16,False,,
2820.0,0,16,False,,
2840.0,0,16,False,,
2860.0,0,16,False,,
2880.0,0,16,False,,
2900.0,0,16,False,,
2920.0,0,16,False,,
2940.0,0,16,False,,
2960.0,0,16,False,,
2980.0,0,16,False,,
3000.0,0,16,False,,
3020.0,0,16,False,,
3040.0,0,16,False,,
3060.0,0,16,False,,
3080.0,0,16,False,,
3100.0,0,16,False,,
3120.0,0,16,False,,
3140.0,0,16,False,,
3160.0,0,16,False,,
3180.0,0,16,False,,
3200.0,0,16,False,,
3220.0,0,16,False,,
3240.0,0,16,False,,
3260.0,0,16,False,,
3280.0,0,16,False,,
3300.0,0,16,False,,
3320.0,0,16,False,,
3340.0,0,16,False,,
3360.0,0,16,False,,
3380.0,0,16,False,,
3400.0,0,16,False,,
3420.0,0,16,False,,
3440.0,0,16,False,,
3460.0,0,16,False,,
3480.0,0,16,False,,
3500.0,0,16,False,,
3520.0,0,16,False,,
3540.0,0,16,False,,
3560.0,0,16,False,,
3580.0,0,16,False,,
3600.0,0,16,False,,
3620.0,0,16,False,,
3640.0,0,16,False,,
3660.0,0,16,False,,
3680.0,0,16,False,,
3700.0,0,16,False,,
3720.0,0,16,False,,
3740.0,0,16,False,,
3760.0,0,16,False,,
3780.0,0,16,False,,
3800.0,0,16,False,,
3820.0,0,16,False,,
3840.0,0,16,False,,
3860.0,1,20,True,0.005816365943197847,2.0
3880.0,1,20,True,0.005416631474621578,2.0
3900.0,1,20,True,0.005025920683800793,2.0
3920.0,1,20,True,0.004647750159335417,2.0
3940.0,1,20,True,0.004286586484020475,2.0
3960.0,1,20,True,0.00394723040330012,2.0
3980.0,1,20,True,0.0036359020021961355,2.0
4000.0,1,20,True,0.0033604914072733628,2.0
4020.0,1,20,True,0.003130570977110198,2.0
4040.0,1,20,True,0.0029568400171313346,2.0
4060.0,1,20,True,0.0028496504194401823,2.0
4080.0,1,20,True,0.00281664503412078,2.0
4100.0,1,20,True,0.0028603962057304685,2.0
4120.0,1,20,True,0.0029774860092712705,2.0
4140.0,1,20,True,0.003159699077805537,2.0
4160.0,1,20,True,0.003396471546818174,2.0
4180.0,1,20,True,0.0036771651898411272,2.0
4200.0,1,20,True,0.003992405297681862,2.0
4220.0,1,20,True,0.0043345360817618975,2.0
4240.0,1,20,True,0.0046975592015874625,2.0
4260.0,1,20,True,0.005076867096517141,2.0
4280.0,1,20,True,0.005468943146817167,2.0
4300.0,1,20,True,0.00587109861724429,2.0
4320.0,0,16,False,,
4340.0,0,16,False,,
4360.0,0,16,False,,
4380.0,0,16,False,,
4400.0,0,16,False,,
4420.0,0,16,False,,
4440.0,0,16,False,,
4460.0,0,16,False,,
4480.0,0,16,False,,
4500.0,0,16,False,,
4520.0,0,16,False,,
4540.0,0,16,False,,
4560.0,0,16,False,,
4580.0,0,16,False,,
4600.0,0,16,False,,
4620.0,0,16,False,,
4640.0,0,16,False,,
4660.0,0,16,False,,
4680.0,0,16,False,,
4700.0,0,16,False,,
4720.0,0,16,False,,
4740.0,0,16,False,,
4760.0,0,16,False,,
4780.0,0,16,False,,
4800.0,0,16,False,,
4820.0,0,16,False,,
4840.0,0,16,False,,
4860.0,0,16,False,,
4880.0,0,16,False,,
4900.0,0,16,False,,
4920.0,0,16,False,,
4940.0,0,16,False,,
4960.0,0,16,False,,
4980.0,0,16,False,,
5000.0,0,16,False,,
5020.0,0,16,False,,
5040.0,0,16,False,,
5060.0,0,16,False,,
5080.0,0,16,False,,
5100.0,0,16,False,,
5120.0,0,16,False,,
5140.0,0,16,False,,
5160.0,0,16,False,,
5180.0,0,16,False,,
5200.0,0,16,False,,
5220.0,0,16,False,,
5240.0,0,16,False,,
5260.0,0,16,False,,
5280.0,0,16,False,,
5300.0,0,16,False,,
5320.0,0,16,False,,
5340.0,0,16,False,,
5360.0,0,16,False,,
5380.0,0,16,False,,
5400.0,0,16,False,,
5420.0,0,16,False,,
5440.0,0,16,False,,
5460.0,0,16,False,,
5480.0,0,16,False,,
5500.0,0,16,False,,
5520.0,0,16,False,,
5540.0,0,16,False,,
5560.0,0,16,False,,
5580.0,0,16,False,,
5600.0,0,16,False,,
5620.0,0,16,False,,
5640.0,0,16,False,,
5660.0,0,16,False,,
5680.0,0,16,False,,
5700.0,0,16,False,,
5720.0,0,16,False,,
5740.0,0,16,False,,
5760.0,0,16,False,,
5780.0,0,16,False,,
5800.0,0,16,False,,
5820.0,0,16,False,,
5840.0,0,16,False,,
5860.0,0,16,False,,
5880.0,0,16,False,,
5900.0,0,16,False,,
5920.0,0,16,False,,
5940.0,0,16,False,,
5960.0,0,16,False,,
5980.0,0,16,False,,
6000.0,0,16,False,,
6020.0,0,16,False,,
6040.0,0,16,False,,
6060.0,0,16,False,,
6080.0,0,16,False,,
6100.0,0,16,False,,
6120.0,0,16,False,,
6140.0,0,16,False,,
6160.0,0,16,False,,
6180.0,0,16,False,,
6200.0,0,16,False,,
6220.0,0,16,False,,
6240.0,0,16,False,,
6260.0,0,16,False,,
6280.0,0,16,False,,
6300.0,0,16,False,,
6320.0,0,16,False,,
6340.0,0,16,False,,
6360.0,0,16,False,,
6380.0,0,16,False,,
6400.0,0,16,False,,
6420.0,0,16,False,,
6440.0,0,16,False,,
6460.0,0,16,False,,
6480.0,0,16,False,,
6500.0,0,16,False,,
6520.0,0,16,False,,
6540.0,0,16,False,,
6560.0,0,16,False,,
6580.0,0,16,False,,
6600.0,0,16,False,,
6620.0,0,16,False,,
6640.0,0,16,False,,
6660.0,0,16,False,,
6680.0,0,16,False,,
6700.0,0,16,False,,
6720.0,0,16,False,,
6740.0,0,16,False,,
6760.0,0,16,False,,
6780.0,0,16,False,,
6800.0,0,16,False,,
6820.0,0,16,False,,
6840.0,0,16,False,,
6860.0,0,16,False,,
6880.0,0,16,False,,
6900.0,0,16,False,,
6920.0,0,16,False,,
6940.0,0,16,False,,
6960.0,0,16,False,,
6980.0,0,16,False,,
7000.0,0,16,False,,
7020.0,0,16,False,,
7040.0,0,16,False,,
7060.0,0,16,False,,
7080.0,0,16,False,,
7100.0,0,16,False,,
7120.0,0,16,False,,
7140.0,0,16,False,,
7160.0,0,16,False,,
7180.0,0,16,False,,
7200.0,0,16,False,,
7220.0,0,16,False,,
7240.0,0,16,False,,
7260.0,0,16,False,,
7280.0,0,16,False,,
7300.0,0,16,False,,
7320.0,0,16,False,,
7340.0,0,16,False,,
7360.0,0,16,False,,
7380.0,0,16,False,,
7400.0,0,16,False,,
7420.0,0,16,False,,
7440.0,0,16,False,,
7460.0,0,16,False,,
7480.0,0,16,False,,
7500.0,0,16,False,,
7520.0,0,16,False,,
7540.0,0,16,False,,
7560.0,0,16,False,,
7580.0,0,16,False,,
7600.0,0,16,False,,
7620.0,0,16,False,,
7640.0,0,16,False,,
7660.0,0,16,False,,
7680.0,0,16,False,,
7700.0,0,16,False,,
7720.0,0,16,False,,
7740.0,0,16,False,,
7760.0,0,16,False,,
7780.0,0,16,False,,
7800.0,0,16,False,,
7820.0,0,16,False,,
7840.0,0,16,False,,
7860.0,0,16,False,,
7880.0,0,16,False,,
7900.0,0,16,False,,
7920.0,0,16,False,,
7940.0,0,16,False,,
7960.0,0,16,False,,
7980.0,0,16,False,,
8000.0,0,16,False,,
8020.0,0,16,False,,
8040.0,0,16,False,,
8060.0,0,16,False,,
8080.0,0,16,False,,
8100.0,0,16,False,,
8120.0,0,16,False,,
8140.0,0,16,False,,
8160.0,0,16,False,,
8180.0,0,16,False,,
8200.0,0,16,False,,
8220.0,0,16,False,,
8240.0,0,16,False,,
8260.0,0,16,False,,
8280.0,0,16,False,,
8300.0,0,16,False,,
8320.0,0,16,False,,
8340.0,0,16,False,,
8360.0,0,16,False,,
8380.0,0,16,False,,
8400.0,0,16,False,,
8420.0,0,16,False,,
8440.0,0,16,False,,
8460.0,0,16,False,,
8480.0,0,16,False,,
8500.0,0,16,False,,
8520.0,0,16,False,,
8540.0,0,16,False,,
8560.0,0,16,False,,
8580.0,0,16,False,,
8600.0,0,16,False,,
8620.0,0,16,False,,
8640.0,0,16,False,,
8660.0,0,16,False,,
8680.0,0,16,False,,
8700.0,0,16,False,,
8720.0,0,16,False,,
8740.0,0,16,False,,
8760.0,0,16,False,,
8780.0,0,16,False,,
8800.0,0,16,False,,
8820.0,0,16,False,,
8840.0,0,16,False,,
8860.0,0,16,False,,
8880.0,0,16,False,,
8900.0,0,16,False,,
8920.0,0,16,False,,
8940.0,0,16,False,,
8960.0,0,16,False,,
8980.0,0,16,False,,
9000.0,0,16,False,,
9020.0,0,16,False,,
9040.0,0,16,False,,
9060.0,0,16,False,,
9080.0,0,16,False,,
9100.0,0,16,False,,
9120.0,0,16,False,,
9140.0,0,16,False,,
9160.0,0,16,False,,
9180.0,0,16,False,,
9200.0,0,16,False,,
9220.0,0,16,False,,
9240.0,0,16,False,,
9260.0,0,16,False,,
9280.0,0,16,False,,
9300.0,0,16,False,,
9320.0,0,16,False,,
9340.0,0,16,False,,
9360.0,0,16,False,,
9380.0,0,16,False,,
9400.0,0,16,False,,
9420.0,0,16,False,,
9440.0,0,16,False,,
9460.0,0,16,False,,
9480.0,0,16,False,,
9500.0,0,16,False,,
9520.0,0,16,False,,
9540.0,0,16,False,,
9560.0,0,16,False,,
9580.0,0,16,False,,
9600.0,0,16,False,,
9620.0,0,16,False,,
9640.0,0,16,False,,
9660.0,0,16,False,,
9680.0,0,16,False,,
9700.0,0,16,False,,
9720.0,0,16,False,,
9740.0,0,16,False,,
9760.0,0,16,False,,
9780.0,0,16,False,,
9800.0,0,16,False,,
9820.0,0,16,False,,
9840.0,0,16,False,,
9860.0,0,16,False,,
9880.0,0,16,False,,
9900.0,0,16,False,,
9920.0,1,20,True,0.005938111652570286,2.0
9940.0,1,20,True,0.005734547918473451,2.0
9960.0,1,20,True,0.005561650356166894,2.0
9980.0,1,20,True,0.005422353761684038,2.0
10000.0,1,20,True,0.005318084137811519,2.0
10020.0,1,20,True,0.005250097129338079,2.0
10040.0,1,20,True,0.005222074738359006,2.0
10060.0,1,20,True,0.005234642377997259,2.0
10080.0,1,20,True,0.00528746108024576,2.0
10100.0,1,20,True,0.005379265909133036,2.0
10120.0,1,20,True,0.005508002822064458,2.0
10140.0,1,20,True,0.005669875012176659,2.0
10160.0,1,20,True,0.005861722392269957,2.0
10180.0,0,16,False,,
10200.0,0,16,False,,
10220.0,0,16,False,,
10240.0,0,16,False,,
10260.0,0,16,False,,
10280.0,0,16,False,,
10300.0,0,16,False,,
10320.0,0,16,False,,
10340.0,0,16,False,,
10360.0,0,16,False,,
10380.0,0,16,False,,
10400.0,0,16,False,,
10420.0,0,16,False,,
10440.0,0,16,False,,
10460.0,0,16,False,,
10480.0,0,16,False,,
10500.0,0,16,False,,
10520.0,0,16,False,,
10540.0,0,16,False,,
10560.0,0,16,False,,
